,rank,name,headquarter,category,description,link,year
0,1,InSphero AG,Schlieren,Biotech,Market leader in 3D cell culture,https://www.top100startups.swiss/InSphero,2014
1,2,L.E.S.S. SA,Renens,Cleantech,Nano active fiber lighting systems,https://www.top100startups.swiss/LESS,2014
2,3,Abionic SA,Epalinges,Medtech,The revolutionary in vitro diagnostic point-of-care platform,https://www.top100startups.swiss/Abionic,2014
3,4,HouseTrip SA ,London,ICT,Online marketplace for holiday rentals.,https://www.top100startups.swiss/HouseTrip,2014
4,5,QualySense AG,Glattbrugg,Engineering,"Sorting robot for grains, seeds and beans",https://www.top100startups.swiss/QualySense,2014
5,6,Bcomp AG,Fribourg,Cleantech,Superior products from natural fibers,https://www.top100startups.swiss/Bcomp,2014
6,7,Climeworks AG,Zürich,Cleantech,Capturing CO2 from air,https://www.top100startups.swiss/Climeworks,2014
7,8,joiz AG,Zürich,ICT,"This television station, which links the world of TV with Web 2.0 and targets viewers between the ages of 15 and 35, has gotten off to a good start.",https://www.top100startups.swiss/joiz,2014
8,9,TrekkSoft AG,Matten bei Interlaken,ICT,SaaS solution for tour and activity companies,https://www.top100startups.swiss/TrekkSoft,2014
9,10,Dacuda AG ,Zürich,ICT,Scanning redefined,https://www.top100startups.swiss/Dacuda,2014
10,11,Glycemicon AG,Brugg,Biotech,Managing blood glucose levels,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7498,2014
11,12,Kandou Bus SA,Lausanne,Engineering,Low power consumption chip connections,https://www.top100startups.swiss/Kandou,2014
12,13,Sophia Genetics SA,Saint Sulpice,Biotech,Democratizing Data-Driven Medicine,https://www.top100startups.swiss/Sophia,2014
13,14,ProteoMediX AG,Schlieren,Biotech,Markers for prostate cancer,https://www.top100startups.swiss/ProteoMediX,2014
14,15,senseFly SA ,Cheseaux-Lausanne,Robotics,Smart flying cameras,https://www.top100startups.swiss/senseFly,2014
15,16,Uepaa AG,Zürich,ICT,The industry-leading Safety and Proximity Expert,https://www.top100startups.swiss/Uepaa,2014
16,17,Teralytics AG,Zürich,ICT,Turning complex data into valuable information,https://www.top100startups.swiss/Teralytics,2014
17,18,On AG,Zollikon,Engineering,Introducing zero-gravity running,https://www.top100startups.swiss/On,2014
18,19,Sherpany AG,Zürich,ICT,Productive leadership meetings,https://www.top100startups.swiss/Sherpany,2014
19,20,flatev AG,Zürich,Foodtech,Reinventing the Future of Snacks at the tip of a button,https://www.top100startups.swiss/flatev,2014
20,21,Advanced Osteotomy Tools - AOT AG,Basel,Medtech,Cutting bones with laser,https://www.top100startups.swiss/AOT,2014
21,22,SamanTree Medical SA,Lausanne,Medtech,Solution helping surgeons to check complete tumor removal,https://www.top100startups.swiss/SamanTree,2014
22,23,Recommerce AG,Rotkreuz,ICT,"Buys, repairs and resells mobile phones, tablets and iPods",https://www.top100startups.swiss/recommerce,2014
23,24,Coople (Schweiz) AG ,Zürich,ICT,Internet platform for the efficient management of short notice and short-term work assignments,https://www.top100startups.swiss/Coople,2014
24,25,Mila AG ,Zurich,ICT,Marketplace for local and trusted services,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=5346,2014
25,26,1Drop Diagnostics Sàrl,Neuchâtel,Medtech,Saving lives through better and faster portable medical diagnostics,https://www.top100startups.swiss/1Drop,2014
26,27,Bluetector AG,Root,Cleantech,Manure Treatment,https://www.top100startups.swiss/Bluetector,2014
27,28,DAHU Sports Company Ltd.,Châtel-Saint-Denis,Engineering,Innovative ski boots / a game changer for the whole industry,https://www.top100startups.swiss/DAHU,2014
28,29,HYT SA,Neuchâtel,Engineering,The hydro mechanical horlogists,https://www.top100startups.swiss/HYT,2014
29,30,Lightbend Sàrl (Typesafe),Lausanne,ICT,Scala programming language,https://www.top100startups.swiss/Lightbend,2014
30,31,CodeCheck AG,Zürich,ICT,Shopping assistant for a conscious lifestyle,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520,2014
31,32,Loop Medical SA,Lutry,Medtech,Loop is developing a painless blood collection technology,https://www.top100startups.swiss/Loop,2014
32,33,Scope Content AG,Zürich,ICT,The new generation of news aggregator a unique semantic text analysis engine,https://www.top100startups.swiss/scope,2014
33,34,AgriCircle AG,Rapperswil,Foodtech,Digital agronomy for regenerative carbon farming,https://www.top100startups.swiss/AgriCircle,2014
34,35,Lunaphore Technologies SA,Tolochenaz,Medtech,Tumor analysis platform,https://www.top100startups.swiss/Lunaphore,2014
35,36,faceshift AG (acquired by Apple),"Cupertino, California",ICT,Technology for facial expression recognition to enact virtual characters in real-time.,https://www.top100startups.swiss/faceshift,2014
36,37,BugBuster Sàrl (acquired by AppDynamics),Ecublens,ICT,Bug Buster offers a fully automated and easy to use software testing solution for Web applications,https://www.top100startups.swiss/BugBuster,2014
37,38,CALCISCON AG,Nidau,Biotech,Products for Calcification Medicine,https://www.top100startups.swiss/CALCISCON,2014
38,39,CleanGreens Solutions SA,Molondin,Foodtech,Innovative farming solutions,https://www.top100startups.swiss/CleanGreens,2014
39,40,Attrackting AG,Biel/Bienne,ICT,Kaddz – the intelligent cat collar.,https://www.top100startups.swiss/Attrackting,2014
40,41,ActLight SA,Ecublens,Engineering,Developing high performance photodetectors for mobile applications,https://www.top100startups.swiss/ActLight,2014
41,42,mySwissChocolate AG ,Pfäffikon,Foodtech,Send a personalized gift around the world,https://www.top100startups.swiss/mySwissChocolate,2014
42,43,ParkU AG,Zürich,ICT,ParkU - The Parking App,https://www.top100startups.swiss/ParkUAG,2014
43,44,Nezasa AG,Zürich,ICT,Technology solutions for the travel trade,https://www.top100startups.swiss/Nezasa,2014
44,45,NBE-Therapeutics LLC ,Basel,Biotech,Antibody-based NBEs,https://www.top100startups.swiss/NBE-Therapeutics,2014
45,46,Leman Micro Devices SA,Lausanne,Engineering,Medically accurate health sensing for all mobile devices,https://www.top100startups.swiss/Leman,2014
46,47,Malcisbo AG,Schlieren,Biotech,Platform to identify carbohydrate targets in pathogenic organisms,https://www.top100startups.swiss/Malcisbo,2014
47,48,greenTEG AG,Zürich,Cleantech,greenTEG is a profitable thermal sensor company with a scalable technology and a large growth opportunity in wearables,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7324,2014
48,49,Scandit AG,Zürich,ICT,Smart Data Capture,https://www.top100startups.swiss/Scandit,2014
49,50,SwissLitho AG (acquired by Heidelberg Instruments),Zürich,Engineering,A novel technology for nanofabrication,https://www.top100startups.swiss/SwissLitho,2014
50,51,ScanTrust SA,Lausanne,ICT,Protection from counterfeiting,https://www.top100startups.swiss/ScanTrust,2014
51,52,Visionarity AG,Basel,Cleantech,Leveraging technology and education to promote solutions that conserve nature and help achieve sustainability.,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7508,2014
52,53,RealLook AG (Selfnation),Zürich,ICT,Perfectly fitting trousers,https://www.top100startups.swiss/selfnation,2014
53,54,Distalmotion SA,Epalinges,Medtech,Making Sense of Robotic Surgery,https://www.top100startups.swiss/DistalMotion,2014
54,55,SWISSto12 SA,Renens,Engineering,Disruptive antenna systems for the telecoms industry.,https://www.top100startups.swiss/SWISSto12,2014
55,56,Politnetz AG,Zürich,ICT,Closely related idea of using Web 2.0 for politics,https://www.top100startups.swiss/Politnetz,2014
56,57,Creoptix AG,Wädenswil,Biotech,Optical instruments and consumables for label-free biochemical sensing,https://www.top100startups.swiss/Creoptix,2014
