,rank,name,headquarter,category,description,link,year
16,17,Crypto Finance AG,Zug,Fintech,Transforming financial services,https://www.top100startups.swiss/CryptoFinance,2019
17,18,Bring! Labs AG,Zürich,ICT,Bring! simplifies grocery shopping for you,https://www.top100startups.swiss/Bring,2019
18,19,Cellestia Biotech AG,Basel,Biotech,Developing First-in-Class therapies for cancer and AIIDs.,https://www.top100startups.swiss/Cellestia,2019
19,20,Fixposition AG,Schlieren,Robotics,Precise Positioning Everywhere.,https://www.top100startups.swiss/Fixposition,2019
20,21,Exeon Analytics AG,Zürich,Security,Exeon Analytics detects hidden cyber threats,https://www.top100startups.swiss/Exeon,2019
21,22,Daphne Technology SA,St-Sulpice VD,Cleantech,Climate tech comp reducing toxic pollutants & GHG emissions,https://www.top100startups.swiss/Daphne,2019
22,23,CREAL SA,Ecublens,Engineering,Enabling Augmented Reality within arm's reach,https://www.top100startups.swiss/CREAL,2019
23,24,T3 Pharmaceuticals AG,Allschwil,Biotech,Developing the next generation bacterial cancer therapy,https://www.top100startups.swiss/T3,2019
24,25,yamo AG,Zug,Foodtech,Good Food for Kids. Made easy with yamo.,https://www.top100startups.swiss/yamo,2019
25,26,OrbiWise SA,Plan-Les-Ouates,ICT,Full solutions for the internet of things,https://www.top100startups.swiss/OrbiWise,2019
26,27,Proton SA,Plan-les-Ouates,Security,Secure e-mail,https://www.top100startups.swiss/Proton,2019
27,28,Insolight SA,Renens,Cleantech,Solar modules designed for agrivoltaics,https://www.top100startups.swiss/Insolight,2019
28,29,Imverse SA,Morges,ICT,3D Holograms: real-time volumetric video for telepresence,https://www.top100startups.swiss/Imverse,2019
29,30,aktiia SA,Neuchatel,Medtech,Reinventing Blood Pressure Monitoring,https://www.top100startups.swiss/aktiia,2019
30,31,Carvolution AG,Bannwil,ICT,Car Subscription Model for Switzerland,https://www.top100startups.swiss/Carvolution,2019
31,32,PXL Vision AG ,Zürich,Security,Scalable software platform for secure identity verification,https://www.top100startups.swiss/PXL,2019
32,33,MaxWell Biosystems AG,Zurich,Biotech,High-Content electrophysiology platforms,https://www.top100startups.swiss/MaxWell,2019
33,34,Resistell AG,Muttenz,Medtech,Revolutionary alternative for antibiotic susceptibility testing,https://www.top100startups.swiss/Resistell,2019
34,35,TestingTime AG,Zürich,ICT,We recruit test users for user and market research,https://www.top100startups.swiss/TestingTime,2019
35,36,ARTIDIS AG,Basel,Medtech,Nanotechnology tool for cancer diagnosis and treatment,https://www.top100startups.swiss/ARTIDIS,2019
36,37,Anaveon AG,Basel,Biotech,Immunotherapies for cancer,https://www.top100startups.swiss/Anaveon,2019
37,38,GUURU Solutions AG,Zürich,ICT,Customer Service. Automated and with human touch,https://www.top100startups.swiss/guuru,2019
38,39,AlgoTrader AG,Zürich,Fintech,The leading digital asset banking solution,https://www.top100startups.swiss/AlgoTrader,2019
39,40,Nanoleq AG,Rümlang,Engineering,The future of health-monitoring textiles,https://www.top100startups.swiss/Nanoleq,2019
40,41,Loanboox GmbH,Zürich,Fintech,European debt capital market platform,https://www.top100startups.swiss/Loanboox,2019
41,42,Nomoko AG,Zurich,ICT,Creating a digital twin of the world,https://www.top100startups.swiss/Nomoko,2019
42,43,Dotphoton AG,Zug,ICT,Reliable image data for critical applications and AI,https://www.top100startups.swiss/Dotphoton,2019
43,44,Inositec AG,Zurich,Biotech,Developing small molecules to address unmet medical needs,https://www.top100startups.swiss/Inositec,2019
44,45,CodeCheck AG,Zürich,ICT,Shopping assistant for a conscious lifestyle,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520,2019
45,46,AgroSustain SA,Renens,Foodtech,AgroSustain – a one-stop-shop solution for biological plant,https://www.top100startups.swiss/AgroSustain,2019
46,47,Scailyte AG,Basel,Biotech,Extracting knowledge from single-cell data to save lives,https://www.top100startups.swiss/Scailyte,2019
47,48,PriceHubble AG,Zürich,Proptech,Big data and artificial intelligence for real estate markets,https://www.top100startups.swiss/PriceHubble,2019
48,49,Peripal AG,Zürich,Medtech,Patient connection device for home dialysis,https://www.top100startups.swiss/Peripal,2019
49,50,Eyeware Tech SA,Martigny,ICT,Attention Sensing with 3D Eye Tracking,https://www.top100startups.swiss/Eyeware,2019
50,51,xorlab AG,Zürich,Security,Redefining enterprise communication security,https://www.top100startups.swiss/xorlab,2019
51,52,Locatee AG,Zürich,Proptech,Workplace Analytics Solution,https://www.top100startups.swiss/Locatee,2019
52,53,AAAccell AG ,Zürich,Fintech,Cutting-edge technology in asset and risk management,https://www.top100startups.swiss/AAAccell,2019
53,54,Diamond Digital AG ,Feusisberg,Fintech,The next generation in Commodity Finance,https://www.top100startups.swiss/dmcoin,2019
54,55,GRZ Technologies AG,Grolley,Cleantech,Metal hydride hydrogen storage solution,https://www.top100startups.swiss/GRZ,2019
55,56,LIGENTEC SA,Ecublens,Engineering,Photonic Integrated Circuits (PIC) in high-tech,https://www.top100startups.swiss/LiGenTec,2019
56,57,Olympe SA,Lausanne,ICT,The best composition platform in the market,https://www.top100startups.swiss/Olympe,2019
57,58,Scewo AG,Winterthur,Medtech,Stair climbing wheelchair,https://www.top100startups.swiss/scewo,2019
58,59,Apiax AG,Zürich,Fintech,Removing barriers with embedded compliance,https://www.top100startups.swiss/Apiax,2019
59,60,ANYbotics AG,Zürich,Robotics,Autonomous robots for industrial inspection,https://www.top100startups.swiss/ANYbotics,2019
60,61,H55 AG,Sion,Engineering,Electric propulsion technologies,https://www.top100startups.swiss/H55,2019
61,62,EBAMed SA,Geneva,Medtech,Non-invasive and automated treatments of heart arrhythmias,https://www.top100startups.swiss/EBAMed,2019
62,63,Crypto Real Estate AG (SwissRealCoin) ,Zug,Proptech,Real estate crypto token,https://www.top100startups.swiss/CryptoRealEstate,2019
63,64,Qnami AG,Muttenz,Engineering,The quantum wave,https://www.top100startups.swiss/Qnami,2019
64,65,LuckaBox Logistics AG,Winterthur,ICT,SAAS Last Mile Digital Forwarder for Enterprises,https://www.top100startups.swiss/LuckaBox,2019
65,66,InterAx Biotech AG,Villigen,Biotech,Reinventing GPCR drug discovery,https://www.top100startups.swiss/InterAx,2019
66,67,SwissDeCode SA,Lausanne,Foodtech,Secure and Build Trust in the Global Food Supply Chain,https://www.top100startups.swiss/SwissDeCode,2019
67,68,FAIRTIQ Ltd,Bern,ICT,Public transport made easy with mobile ticketing solutions,https://www.top100startups.swiss/FAIRTIQ,2019
68,69,Topadur Pharma AG,Schlieren,Biotech,Disruptive drugs for aging diseases,https://www.top100startups.swiss/Topadur,2019
69,70,PharmaBiome AG,Zürich,Biotech,Next Generation Microbiome Therapies,https://www.top100startups.swiss/PharmaBiome,2019
70,71,Avrios International AG,Zürich,ICT,We make mobility work for business,https://www.top100startups.swiss/Avrios,2019
71,72,Perspective Robotics AG (Fotokite),San Francisco,Robotics,Real-time situational intelligence that helps save lives.,https://www.top100startups.swiss/Perspective,2019
72,73,Skribble AG,Zurich,ICT,Digital signature solution,https://www.top100startups.swiss/Skribble,2019
73,74,Futurae Technologies AG,Zurich,Security,Secure Authentication for users has never been easier,https://www.top100startups.swiss/Futurae,2019
74,75,Seervision AG,Zurich,Engineering,We make any camera autonomous,https://www.top100startups.swiss/Seervision,2019
75,76,SONECT AG,Zürich,Fintech,"Through Sonect, every store becomes an ATM",https://www.top100startups.swiss/SONECT,2019
76,77,Elthera AG,Schlieren,Biotech,Tailored cancer therapies,https://www.top100startups.swiss/Elthera,2019
77,78,uniqFEED AG,Glattbrugg,ICT,Entirely software-based virtual advertising technology,https://www.top100startups.swiss/uniqFEED,2019
78,79,Insightness AG ,Zürich,Engineering,Novel camera chips for interactive devices,https://www.top100startups.swiss/Insightness,2019
79,80,Spectroplast AG,Schlieren,Engineering,Introducing Silicone to the World of 3D Printing,https://www.top100startups.swiss/Spectroplast,2019
80,81,Crowdhouse AG,Zürich,Proptech,"First real-estate platform, which enables everybody to invest in properties all over Switzerland",https://www.top100startups.swiss/Crowdhouse,2019
81,82,ScanTrust SA,Lausanne,ICT,Protection from counterfeiting,https://www.top100startups.swiss/ScanTrust,2019
82,83,Nanogence SA ,Lausanne ,Cleantech,Creating material solutions for a sustainable world,https://www.top100startups.swiss/Nanogence,2019
83,84,Auterion AG,Zürich,Robotics,Open source infrastructure for autonomous robots,https://www.top100startups.swiss/Auterion,2019
84,85,INVOLI SA,Renens,ICT,Enabling the safe integration of drones into the airspace,https://www.top100startups.swiss/INVOLI,2019
85,86,Haelixa AG,Kemptthal,Biotech,Reliable product identification through DNA technology,https://www.top100startups.swiss/Haelixa,2019
86,87,MyCamper AG,Basel,ICT,Sharing platform for campers,https://www.top100startups.swiss/myCamper,2019
87,88,ONWARD Medical SA,Lausanne,Biotech,Enabling nervous system rewiring,https://www.top100startups.swiss/Onward,2019
88,89,Equippo AG,Zug,ICT,"Next-generation, full-service marketplace for equipment",https://www.top100startups.swiss/Equippo,2019
89,90,Farmy AG,Zürich,Foodtech,The online shop for regional and biological farming goods,https://www.top100startups.swiss/Farmy,2019
90,91,Araris Biotech AG,Au,Biotech,Building tomorrow's antibody-drug conjugates (ADCs),https://www.top100startups.swiss/Araris,2019
91,92,Sygnum Bank AG,Zurich,Fintech,Digital asset specialist with global reach,https://www.top100startups.swiss/Sygnum,2019
92,93,Dicronis Sagl,Monteggio,Medtech,Improving the quality of life of cancer patients,https://www.top100startups.swiss/Dicronis,2019
93,94,Mirrakoi SA,Lausanne,Medtech,3D models straight from medical images.,https://www.top100startups.swiss/Mirrakoi,2019
94,95,TwentyGreen AG,Lucerne,Biotech,Next-Generation Probiotic 10x better protection,https://www.top100startups.swiss/TwentyGreen,2019
95,96,Altoida AG,Luzern,Medtech,Join us on our noble mission to better brain health,https://www.top100startups.swiss/Altoida,2019
96,97,Pregnolia AG,Schlieren,Medtech,Predicting the risk of premature birth,https://www.top100startups.swiss/Pregnolia,2019
97,98,wefox Holding AG,Zürich,Fintech,Compare insurances and receive personal advice,https://www.top100startups.swiss/FinanceFox,2019
98,99,recapp IT AG,Visp,ICT,Spracherkennung in allen Schweizer Sprachen und Dialekten,https://www.top100startups.swiss/recapp,2019
99,100,OneVisage SA,Lausanne,Security,Sensitive Data Requires Premium Protection,https://www.top100startups.swiss/OneVisage,2019
