,rank,name,headquarter,category,description,link,year
0,1,Planted Foods AG,Kemptthal,Foodtech,Planted meats,https://www.top100startups.swiss/Planted,2021
1,2,CUTISS AG,Schlieren,Biotech,Personalized skin,https://www.top100startups.swiss/CUTISS,2021
2,3,9T Labs AG,Zürich,Engineering,3D carbon fiber printing technology,https://www.top100startups.swiss/9T,2021
3,4,CREAL SA,Ecublens,Engineering,Enabling Augmented Reality within arm's reach,https://www.top100startups.swiss/CREAL,2021
4,5,Carvolution AG,Bannwil,ICT,Car Subscription Model for Switzerland,https://www.top100startups.swiss/Carvolution,2021
5,6,Piavita AG,Zürich,Medtech,Daily assistant for equine veterinarians,https://www.top100startups.swiss/Piavita,2021
6,7,Wingtra AG,Zürich,Robotics,"Fly like an airplane, take-off and land like a helicopter",https://www.top100startups.swiss/Wingtra,2021
7,8,AgroSustain SA,Renens,Foodtech,AgroSustain – a one-stop-shop solution for biological plant,https://www.top100startups.swiss/AgroSustain,2021
8,9,Resistell AG,Muttenz,Medtech,Revolutionary alternative for antibiotic susceptibility testing,https://www.top100startups.swiss/Resistell,2021
9,10,Exeon Analytics AG,Zürich,Security,Exeon Analytics detects hidden cyber threats,https://www.top100startups.swiss/Exeon,2021
10,11,Araris Biotech AG,Au,Biotech,Building tomorrow's antibody-drug conjugates (ADCs),https://www.top100startups.swiss/Araris,2021
11,12,Volumina Medical SA,Epalinges,Medtech,Dynamic biomaterials for reconstructive and plastic surgery,https://www.top100startups.swiss/Volumina,2021
12,13,Ledgy AG,Zürich,ICT,Your equity set for growth,https://www.top100startups.swiss/Ledgy-AG,2021
13,14,HAYA Therapeutics SA,Epalinges,Biotech,Treating heart failure through innovative RNA-therapies,https://www.top100startups.swiss/HAYA,2021
14,15,ANYbotics AG,Zürich,Robotics,Autonomous robots for industrial inspection,https://www.top100startups.swiss/ANYbotics,2021
15,16,yamo AG,Zug,Foodtech,Good Food for Kids. Made easy with yamo.,https://www.top100startups.swiss/yamo,2021
16,17,TOLREMO therapeutics AG,Muttenz,Biotech,Development of resistance-breaking cancer therapies,https://www.top100startups.swiss/TOLREMO,2021
17,18,Bloom Biorenewables SA,Marly,Cleantech,Making biomass a true alternative to petroleum,https://www.top100startups.swiss/Bloom,2021
18,19,DePoly SA,Sion,Cleantech,Closing the loop on PET plastic recycling,https://www.top100startups.swiss/DePoly,2021
19,20,Yokoy Group AG,Zurich,Fintech,Your expenses and company credit cards on autopilot,https://www.top100startups.swiss/yokoy,2021
20,21,Futurae Technologies AG,Zurich,Security,Secure Authentication for users has never been easier,https://www.top100startups.swiss/Futurae,2021
21,22,Miraex SA,Ecublens,Engineering,Photonic sensing and quantum solutions,https://www.top100startups.swiss/Miraex,2021
22,23,neon Switzerland AG,Zürich,Fintech,Mobile Banking solution,https://www.top100startups.swiss/Neon,2021
23,24,Skribble AG,Zurich,ICT,Digital signature solution,https://www.top100startups.swiss/Skribble,2021
24,25,inyova AG,Zurich,Fintech,We create a more sustainable world through investing,https://www.top100startups.swiss/Inyova,2021
25,26,IDUN Technologies AG,Opfikon,Medtech,Enabling the Internet of Humans,https://www.top100startups.swiss/IDUN,2021
26,27,Sygnum Bank AG,Zurich,Fintech,Digital asset specialist with global reach,https://www.top100startups.swiss/Sygnum,2021
27,28,Microcaps AG,Zurich-Schlieren,Engineering,Microencapsulation at Swiss Precision,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=18261,2021
28,29,Neural Concept SA,Lausanne,ICT,Optimizing engineering processes,https://www.top100startups.swiss/Neural,2021
29,30,MOBBOT SA,Fribourg,Proptech,Mobile 3D concrete printing systems,https://www.top100startups.swiss/MOBBOT,2021
30,31,Perseo pharma AG,Muttenz,Biotech,Metabolic Therapies,https://www.top100startups.swiss/Perseo,2021
31,32,PriceHubble AG,Zürich,Proptech,Big data and artificial intelligence for real estate markets,https://www.top100startups.swiss/PriceHubble,2021
32,33,dq technologies AG (Decentriq),Zürich,Security,Data clean rooms powered by confidential computing,https://www.top100startups.swiss/Decentriq,2021
33,34,EraCal Therapeutics AG,Schlieren,Biotech,We develop the next generation anti-obesity drug,https://www.top100startups.swiss/EraCal,2021
34,35,flowbone SA,Lausanne,Medtech,Restoring hip strength to resist breaking,https://www.top100startups.swiss/flowbone,2021
35,36,Annaida Technologies SA,Lausanne,Biotech,Non invasive chemical analysis at embryo scale,https://www.top100startups.swiss/Annaida,2021
36,37,hemotune AG,Schlieren,Medtech,Magnetic Blood Purification,https://www.top100startups.swiss/hemotune,2021
37,38,Nanoleq AG,Rümlang,Engineering,The future of health-monitoring textiles,https://www.top100startups.swiss/Nanoleq,2021
38,39,Haelixa AG,Kemptthal,Biotech,Reliable product identification through DNA technology,https://www.top100startups.swiss/Haelixa,2021
39,40,aktiia SA,Neuchatel,Medtech,Reinventing Blood Pressure Monitoring,https://www.top100startups.swiss/aktiia,2021
40,41,Qnami AG,Muttenz,Engineering,The quantum wave,https://www.top100startups.swiss/Qnami,2021
41,42,PXL Vision AG ,Zürich,Security,Scalable software platform for secure identity verification,https://www.top100startups.swiss/PXL,2021
42,43,LuckaBox Logistics AG,Winterthur,ICT,SAAS Last Mile Digital Forwarder for Enterprises,https://www.top100startups.swiss/LuckaBox,2021
43,44,matriq AG,St. Gallen,Engineering,The unique individual watermark for plastics products,https://www.top100startups.swiss/matriq,2021
44,45,Artiria Medical SA,Borex,Medtech,"We fight stroke, we save lives",https://www.top100startups.swiss/Artiria,2021
45,46,Tinamu Labs AG,Zürich,Robotics,Automated drone-based indoor monitoring,https://www.top100startups.swiss/Tinamu,2021
46,47,LIFEMATRIX TECHNOLOGIES AG,Zürich,Medtech,LifeMatrix - Biomimetic Solutions for Life,https://www.top100startups.swiss/LifeMatrix,2021
47,48,Taurus SA,Geneva,Fintech,Swiss digital asset custody solution,https://www.top100startups.swiss/Taurus,2021
48,49,Dufour Aerospace AG,Visp,Robotics,Advanced electric aircraft,https://www.top100startups.swiss/DufourAerospace,2021
49,50,Numab Therapeutics AG,Wädenswil,Biotech,Innovates and develops antibody-based therapeutics,https://www.top100startups.swiss/Numab,2021
