,rank,name,headquarter,category,description,link,year
0,1,Ava AG,Zürich,Medtech,Ovulation tracking bracelet,https://www.top100startups.swiss/Ava,2017
1,2,L.E.S.S. SA,Renens,Cleantech,Nano active fiber lighting systems,https://www.top100startups.swiss/LESS,2017
2,3,Flyability SA,Paudex,Robotics,Drone-based inspection solutions,https://www.top100startups.swiss/Flyability,2017
3,4,bexio AG  ,Rapperswil,Fintech,Business software for SMEs,https://www.top100startups.swiss/Bexio,2017
4,5,MindMaze SA,Lausanne,Medtech,Bringing real emotion to virtual reality,https://www.top100startups.swiss/MindMaze,2017
5,6,Gamaya SA,Morges,Robotics,Digital agronomy solutions for large farming businesses,https://www.top100startups.swiss/Gamaya,2017
6,7,Bestmile SA,Lausanne,ICT,Fleet automation platform,https://www.top100startups.swiss/Bestmile,2017
7,8,Beekeeper AG,Zürich,ICT,Empowering entire workforces,https://www.top100startups.swiss/Beekeeper,2017
8,9,Lunaphore Technologies SA,Tolochenaz,Medtech,Tumor analysis platform,https://www.top100startups.swiss/Lunaphore,2017
9,10,Advanon AG ,Zürich,Fintech,Disrupting the invoicing market,https://www.top100startups.swiss/Advanon,2017
10,11,Versantis AG,Zürich,Biotech,Conquer liver diseases and saves lives,https://www.top100startups.swiss/Versantis,2017
11,12,RealLook AG (Selfnation),Zürich,ICT,Perfectly fitting trousers,https://www.top100startups.swiss/selfnation,2017
12,13,OrbiWise SA,Plan-Les-Ouates,ICT,Full solutions for the internet of things,https://www.top100startups.swiss/OrbiWise,2017
13,14,Amal Therapeutics SA ,Genève,Biotech,Cancer vaccines,https://www.top100startups.swiss/Amal,2017
14,15,Teralytics AG,Zürich,ICT,Turning complex data into valuable information,https://www.top100startups.swiss/Teralytics,2017
15,16,Wingtra AG,Zürich,Robotics,"Fly like an airplane, take-off and land like a helicopter",https://www.top100startups.swiss/Wingtra,2017
16,17,TwentyGreen AG,Lucerne,Biotech,Next-Generation Probiotic 10x better protection,https://www.top100startups.swiss/TwentyGreen,2017
17,18,Insolight SA,Renens,Cleantech,Solar modules designed for agrivoltaics,https://www.top100startups.swiss/Insolight,2017
18,19,Farmy AG,Zürich,Foodtech,The online shop for regional and biological farming goods,https://www.top100startups.swiss/Farmy,2017
19,20,Crispr Therapeutics AG,Basel,Biotech,Developing cures for serious human genetic diseases,https://www.top100startups.swiss/Crispr,2017
20,21,depsys SA,Puidoux,Cleantech,Energy network optimization platform,https://www.top100startups.swiss/depsys,2017
21,22,CleanGreens Solutions SA,Molondin,Foodtech,Innovative farming solutions,https://www.top100startups.swiss/CleanGreens,2017
22,23,VIU VENTURES AG,Zürich,ICT,Challenging the established rules in the eyewear industry,https://www.top100startups.swiss/VIUVentures,2017
23,24,ScanTrust SA,Lausanne,ICT,Protection from counterfeiting,https://www.top100startups.swiss/ScanTrust,2017
24,25,Nomoko AG,Zurich,ICT,Creating a digital twin of the world,https://www.top100startups.swiss/Nomoko,2017
25,26,CreditGate24 AG,Zurich,Fintech,The leading Swiss P2P lending platform,https://www.top100startups.swiss/CreditGate24,2017
26,27,CodeCheck AG,Zürich,ICT,Shopping assistant for a conscious lifestyle,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520,2017
27,28,Memo Therapeutics AG,Schlieren,Biotech,Droplet microfluidics based single-cell technology platform,https://www.top100startups.swiss/MemoTherapeutics,2017
28,29,ONWARD Medical SA,Lausanne,Biotech,Enabling nervous system rewiring,https://www.top100startups.swiss/Onward,2017
29,30,Fashwell AG ,Zürich,ICT,AI image recognition software,https://www.top100startups.swiss/Fashwell,2017
30,31,Proton SA,Plan-les-Ouates,Security,Secure e-mail,https://www.top100startups.swiss/Proton,2017
31,32,Peripal AG,Zürich,Medtech,Patient connection device for home dialysis,https://www.top100startups.swiss/Peripal,2017
32,33,Distalmotion SA,Epalinges,Medtech,Making Sense of Robotic Surgery,https://www.top100startups.swiss/DistalMotion,2017
33,34,CUTISS AG,Schlieren,Biotech,Personalized skin,https://www.top100startups.swiss/CUTISS,2017
34,35,Insightness AG ,Zürich,Engineering,Novel camera chips for interactive devices,https://www.top100startups.swiss/Insightness,2017
35,36,Cellestia Biotech AG,Basel,Biotech,Developing First-in-Class therapies for cancer and AIIDs.,https://www.top100startups.swiss/Cellestia,2017
36,37,Nezasa AG,Zürich,ICT,Technology solutions for the travel trade,https://www.top100startups.swiss/Nezasa,2017
37,38,Biowatch,Lausanne,Engineering,A wearable biometric technology as an alternative solution to current authentication methods,https://www.top100startups.swiss/Biowatch,2017
38,39,Archilogic AG,Zürich,Proptech,Understanding environments,https://www.top100startups.swiss/Archilogic,2017
39,40,Glycemicon AG,Brugg,Biotech,Managing blood glucose levels,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7498,2017
40,41,Xsensio SA ,Lausanne,Medtech,Lab-on-Skin(TM) sensing platform,https://www.top100startups.swiss/Xsensio,2017
41,42,AKSELOS SA,Lausanne,ICT,Simulation technology to protect critical structures,https://www.top100startups.swiss/AKSELOS,2017
42,43,T3 Pharmaceuticals AG,Allschwil,Biotech,Developing the next generation bacterial cancer therapy,https://www.top100startups.swiss/T3,2017
43,44,Contovista AG ,Schlieren,Fintech,Data driven banking,https://www.top100startups.swiss/Contovista,2017
44,45,Leman Micro Devices SA,Lausanne,Engineering,Medically accurate health sensing for all mobile devices,https://www.top100startups.swiss/Leman,2017
45,46,Polyneuron Pharmaceuticals AG,Basel,Biotech,New drug class for the treatment of autoimmune diseases,https://www.top100startups.swiss/Polyneuron,2017
46,47,Diviac AG ,Zurich,ICT,Diviac is the Booking.com of scuba diving.,https://www.top100startups.swiss/Diviac,2017
47,48,Bluebox Shop AG (Amorana.ch),Glattbrugg,ICT,Swiss online shop for erotic and lifestyle products,https://www.top100startups.swiss/amorana,2017
48,49,Chimpy AG,Zürich,Cleantech,Convenient recharging on the go,https://www.top100startups.swiss/Chimpy,2017
49,50,ShoeSize.Me AG,Olten,ICT,"Boost your footwear sales with innovative, guided-selling AI",https://www.top100startups.swiss/ShoeSizeMe,2017
50,51,BeeHelpful SA,Lugano,Engineering,"Developing, producing and selling a new bee managing system",https://www.top100startups.swiss/BeeHelpful,2017
51,52,OneVisage SA,Lausanne,Security,Sensitive Data Requires Premium Protection,https://www.top100startups.swiss/OneVisage,2017
52,53,Perspective Robotics AG (Fotokite),San Francisco,Robotics,Real-time situational intelligence that helps save lives.,https://www.top100startups.swiss/Perspective,2017
53,54,Allthings Technologies AG,Basel,Proptech,Allthings: For a better life in buildings,https://www.top100startups.swiss/Allthings,2017
54,55,Goodwall SA,Genève,ICT,A professional development network for young talent,https://www.top100startups.swiss/Goodwall,2017
55,56,GRZ Technologies AG,Grolley,Cleantech,Metal hydride hydrogen storage solution,https://www.top100startups.swiss/GRZ,2017
56,57,Haelixa AG,Kemptthal,Biotech,Reliable product identification through DNA technology,https://www.top100startups.swiss/Haelixa,2017
57,58,Swiss Wood Solutions AG,Zürich,Cleantech,Innovative wood based products with added values,https://www.top100startups.swiss/Swisswoodsolutions,2017
58,59,Intento SA ,Lausanne,Medtech,Wearable solutions for the rehabilitation of paralyzed stroke patients,https://www.top100startups.swiss/Intento,2017
59,60,CLEVERDIST SA,Plan-les-Ouates,ICT,Design and integration of large control systems,https://www.top100startups.swiss/CLEVERDIST,2017
60,61,Nexxiot AG,Zürich,Engineering,enabler of the digitized supply chain,https://www.top100startups.swiss/Nexxiot,2017
61,62,Equippo AG,Zug,ICT,"Next-generation, full-service marketplace for equipment",https://www.top100startups.swiss/Equippo,2017
62,63,Nanolive SA,Ecublens,Medtech,Revolutionary tomographic microscope,https://www.top100startups.swiss/Nanolive,2017
63,64,1Drop Diagnostics Sàrl,Neuchâtel,Medtech,Saving lives through better and faster portable medical diagnostics,https://www.top100startups.swiss/1Drop,2017
64,65,InterAx Biotech AG,Villigen,Biotech,Reinventing GPCR drug discovery,https://www.top100startups.swiss/InterAx,2017
65,66,ROVENSO SA,Villaz-St-Pierre,Engineering,Agile robots for security and safety monitoring in industry,https://www.top100startups.swiss/ROVENSO,2017
66,67,TestingTime AG,Zürich,ICT,We recruit test users for user and market research,https://www.top100startups.swiss/TestingTime,2017
67,68,Inofea AG,Muttenz,Biotech,Empowered therapeutic enzymes,https://www.top100startups.swiss/Inofea,2017
68,69,felfel AG,Zürich,Foodtech,"Affordable, ultra-fresh food for employees",https://www.top100startups.swiss/felfel,2017
69,70,Synple Chem AG,Zurich,Biotech,Making synthesis of new molecules as easy as capsule coffee,https://www.top100startups.swiss/Synple,2017
70,71,Altoida AG,Luzern,Medtech,Join us on our noble mission to better brain health,https://www.top100startups.swiss/Altoida,2017
71,72,Inositec AG,Zurich,Biotech,Developing small molecules to address unmet medical needs,https://www.top100startups.swiss/Inositec,2017
72,73,AEROTAIN AG,Zürich,Robotics,We leverage live events with interactive and engaging flying experiences.,https://www.top100startups.swiss/AEROTAIN,2017
73,74,Relish Brothers AG,Sempach Station,Engineering,Swiss premium guitars,https://www.top100startups.swiss/Relish,2017
74,75,flatev AG,Zürich,Foodtech,Reinventing the Future of Snacks at the tip of a button,https://www.top100startups.swiss/flatev,2017
75,76,Perceptiko AG (CatchEye),Zürich,ICT,Making video calls more personal,https://www.top100startups.swiss/catcheye,2017
76,77,Gnubiotics Sciences SA,Epalinges,Biotech,Biosimilar oligosaccharides to restore microbiome diversity,https://www.top100startups.swiss/Gnubiotics,2017
77,78,MaxWell Biosystems AG,Zurich,Biotech,High-Content electrophysiology platforms,https://www.top100startups.swiss/MaxWell,2017
78,79,Artmyn SA,Belmont sur Lausanne,ICT,Setting new standards for the way fine art can be experience,https://www.top100startups.swiss/Artmyn,2017
79,80,Pregnolia AG,Schlieren,Medtech,Predicting the risk of premature birth,https://www.top100startups.swiss/Pregnolia,2017
80,81,Olympe SA,Lausanne,ICT,The best composition platform in the market,https://www.top100startups.swiss/Olympe,2017
81,82,Topadur Pharma AG,Schlieren,Biotech,Disruptive drugs for aging diseases,https://www.top100startups.swiss/Topadur,2017
82,83,Crowdhouse AG,Zürich,Proptech,"First real-estate platform, which enables everybody to invest in properties all over Switzerland",https://www.top100startups.swiss/Crowdhouse,2017
83,84,PharmaBiome AG,Zürich,Biotech,Next Generation Microbiome Therapies,https://www.top100startups.swiss/PharmaBiome,2017
84,85,IRsweep AG,Stäfa,Biotech,Optical gas sensing,https://www.top100startups.swiss/IRsweep,2017
85,86,rqmicro AG,Schlieren,Biotech,Ultra-rapid detection of pathogenic microorganisms,https://www.top100startups.swiss/rqmicro,2017
86,87,NBE-Therapeutics LLC ,Basel,Biotech,Antibody-based NBEs,https://www.top100startups.swiss/NBE-Therapeutics,2017
87,88,Uepaa AG,Zürich,ICT,The industry-leading Safety and Proximity Expert,https://www.top100startups.swiss/Uepaa,2017
88,89,Vigilitech AG,Heiden,Biotech,Novel sensor technology to measure physiological signs,https://www.top100startups.swiss/Vigilitech,2017
89,90,Coat-X AG,La Chaux-de-Fonds,Medtech,Innovative encapsulation technology,https://www.top100startups.swiss/Coat-X,2017
90,91,xorlab AG,Zürich,Security,Redefining enterprise communication security,https://www.top100startups.swiss/xorlab,2017
91,92,Global Impact Finance SA (Monito),Lausanne,ICT,Comparing the rates of money transfer operators and banks,https://www.top100startups.swiss/Monito,2017
92,93,recapp IT AG,Visp,ICT,Spracherkennung in allen Schweizer Sprachen und Dialekten,https://www.top100startups.swiss/recapp,2017
93,94,SensArs Neuroprosthetics Sàrl,Lausanne,Medtech,High-selective nerve stimulators treating neuropathic pain,https://www.top100startups.swiss/SensArs,2017
94,95,Privately SA,Lausanne,ICT,End-to-end solution for protecting users’ private content shared digitally,https://www.top100startups.swiss/Privately,2017
95,96,DillySocks AG,Zürich,ICT,Online shop for colorful socks,https://www.top100startups.swiss/DillySocks,2017
96,97,imperix SA,Sion,Cleantech,Advanced power conversion solutions,https://www.top100startups.swiss/imperix,2017
97,98,Frontify AG,St. Gallen,ICT,The platform for building powerful brand experience,https://www.top100startups.swiss/Frontify,2017
98,99,Pryv SA,Lausanne,ICT,"Personal Data and Privacy, Managed.",https://www.top100startups.swiss/Pryv,2017
99,100,Piavita AG,Zürich,Medtech,Daily assistant for equine veterinarians,https://www.top100startups.swiss/Piavita,2017
