,rank,name,headquarter,category,description,link,year
0,1,HouseTrip SA ,London,ICT,Online marketplace for holiday rentals.,https://www.top100startups.swiss/HouseTrip,2013
1,2,BioVersys AG,Basel,Biotech,Novel antibacterial therapies - new targets,https://www.top100startups.swiss/BioVersys,2013
2,3,Abionic SA,Epalinges,Medtech,The revolutionary in vitro diagnostic point-of-care platform,https://www.top100startups.swiss/Abionic,2013
3,4,L.E.S.S. SA,Renens,Cleantech,Nano active fiber lighting systems,https://www.top100startups.swiss/LESS,2013
4,5,InSphero AG,Schlieren,Biotech,Market leader in 3D cell culture,https://www.top100startups.swiss/InSphero,2013
5,6,Bcomp AG,Fribourg,Cleantech,Superior products from natural fibers,https://www.top100startups.swiss/Bcomp,2013
6,7,Dacuda AG ,Zürich,ICT,Scanning redefined,https://www.top100startups.swiss/Dacuda,2013
7,8,GetYourGuide AG,Zürich,ICT,Booking website for tours and activities,https://www.top100startups.swiss/GetYourGuide,2013
8,9,Kandou Bus SA,Lausanne,Engineering,Low power consumption chip connections,https://www.top100startups.swiss/Kandou,2013
9,10,QualySense AG,Glattbrugg,Engineering,"Sorting robot for grains, seeds and beans",https://www.top100startups.swiss/QualySense,2013
10,11,Biognosys AG,Zürich - Schlieren,Biotech,New standard in multiplexed protein quantification,https://www.top100startups.swiss/Biognosys,2013
11,12,Lemoptix SA,Lausanne,Engineering,Development of next generation optical MEMS (micro-electro-mechanical systems) for mobile applications.,https://www.top100startups.swiss/Lemoptix,2013
12,13,ProteoMediX AG,Schlieren,Biotech,Markers for prostate cancer,https://www.top100startups.swiss/ProteoMediX,2013
13,14,Malcisbo AG,Schlieren,Biotech,Platform to identify carbohydrate targets in pathogenic organisms,https://www.top100startups.swiss/Malcisbo,2013
14,15,SWISSto12 SA,Renens,Engineering,Disruptive antenna systems for the telecoms industry.,https://www.top100startups.swiss/SWISSto12,2013
15,16,Aleva Neurotherapeutics SA,Lausanne,Medtech,Better therapies for neurological diseases,https://www.top100startups.swiss/Aleva,2013
16,17,Coople (Schweiz) AG ,Zürich,ICT,Internet platform for the efficient management of short notice and short-term work assignments,https://www.top100startups.swiss/Coople,2013
17,18,joiz AG,Zürich,ICT,"This television station, which links the world of TV with Web 2.0 and targets viewers between the ages of 15 and 35, has gotten off to a good start.",https://www.top100startups.swiss/joiz,2013
18,19,Aïmago SA  (acquired by Novadaq),Lausanne,Medtech,Taking the Guesswork out of Tissue Perfusion Assessment.,https://www.top100startups.swiss/Aimago,2013
19,20,faceshift AG (acquired by Apple),"Cupertino, California",ICT,Technology for facial expression recognition to enact virtual characters in real-time.,https://www.top100startups.swiss/faceshift,2013
20,21,Parking Solutions GmbH (acquired by SBB),,ICT,A marketplace that enables short-term rent of private and corporate parking spots through a mobile phone app.,https://www.top100startups.swiss/Parking,2013
21,22,Glycemicon AG,Brugg,Biotech,Managing blood glucose levels,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7498,2013
22,23,Adello AG,Zürich,ICT,Our mission is to quantify the drivers of physical business.,https://www.top100startups.swiss/Adello,2013
23,24,BugBuster Sàrl (acquired by AppDynamics),Ecublens,ICT,Bug Buster offers a fully automated and easy to use software testing solution for Web applications,https://www.top100startups.swiss/BugBuster,2013
24,25,TrekkSoft AG,Matten bei Interlaken,ICT,SaaS solution for tour and activity companies,https://www.top100startups.swiss/TrekkSoft,2013
25,26,Climeworks AG,Zürich,Cleantech,Capturing CO2 from air,https://www.top100startups.swiss/Climeworks,2013
