,rank,name,headquarter,category,description,link,year
0,1,Optotune AG,Dietikon,Engineering,"Inexpensive, scalable, precisely focus tunable lenses based",https://www.top100startups.swiss/Optotune,2011
1,2,Dacuda AG ,Zürich,ICT,Scanning redefined,https://www.top100startups.swiss/Dacuda,2011
2,3,Doodle AG ,Zürich,ICT,Easy scheduling,https://www.top100startups.swiss/Doodle,2011
3,4,Lemoptix SA,Lausanne,Engineering,Development of next generation optical MEMS (micro-electro-mechanical systems) for mobile applications.,https://www.top100startups.swiss/Lemoptix,2011
4,5,Poken SA (acquired by GES),Lausanne,ICT,Collect people and things with a touch,https://www.top100startups.swiss/Poken,2011
5,6,InSphero AG,Schlieren,Biotech,Market leader in 3D cell culture,https://www.top100startups.swiss/InSphero,2011
6,7,Finity SA (former paper.li),Lausanne,ICT,Create your newspaper,https://www.top100startups.swiss/Smallrivers,2011
7,8,HouseTrip SA ,London,ICT,Online marketplace for holiday rentals.,https://www.top100startups.swiss/HouseTrip,2011
8,9,Malcisbo AG,Schlieren,Biotech,Platform to identify carbohydrate targets in pathogenic organisms,https://www.top100startups.swiss/Malcisbo,2011
9,10,Aïmago SA  (acquired by Novadaq),Lausanne,Medtech,Taking the Guesswork out of Tissue Perfusion Assessment.,https://www.top100startups.swiss/Aimago,2011
10,11,Climeworks AG,Zürich,Cleantech,Capturing CO2 from air,https://www.top100startups.swiss/Climeworks,2011
11,12,Biognosys AG,Zürich - Schlieren,Biotech,New standard in multiplexed protein quantification,https://www.top100startups.swiss/Biognosys,2011
12,13,Redbiotec AG,Schlieren,Biotech,Therapeutic bacteria for treating cancer & genetic disorders,https://www.top100startups.swiss/Redbiotec,2011
13,14,Neurimmune AG,Schlieren,Biotech,Identification of novel therapeutics for the treatment of neurodegenerative disorders,https://www.top100startups.swiss/Neurimmune,2011
14,15,Lightbend Sàrl (Typesafe),Lausanne,ICT,Scala programming language,https://www.top100startups.swiss/Lightbend,2011
15,16,Kooaba AG ,Cupertino,ICT,Unlock the information captured in images using sophisticated image recognition technology,https://www.top100startups.swiss/Kooaba,2011
16,17,Celeroton AG,Volketswil,Engineering,Ultra-highspeed electrical drive systems for renewable energy generation,https://www.top100startups.swiss/Celeroton,2011
17,18,GetYourGuide AG,Zürich,ICT,Booking website for tours and activities,https://www.top100startups.swiss/GetYourGuide,2011
18,19,Stemergie Biotechnology SA,Geneva,Biotech,Targeting the roots of cancer in developing treatments and diagnostics,https://www.top100startups.swiss/Stemergie,2011
19,20,greenTEG AG,Rümlang,Cleantech,Experts in thermal sensing solutions for research & industry,https://www.top100startups.swiss/greenTEG,2011
20,21,Atizo AG (acquired by Hyve),Bern,ICT,Virtual brainstorming platform with thousands of creative thinkers,https://www.top100startups.swiss/Atizo,2011
21,22,LiberoVision AG (acquired by Vizrt),Zürich,ICT,Virtual sports enhancements,https://www.top100startups.swiss/Vizrt,2011
22,23,BioVersys AG,Basel,Biotech,Novel antibacterial therapies - new targets,https://www.top100startups.swiss/BioVersys,2011
23,24,Arktis Radiation Detectors Ltd,Zürich,Engineering,Platform technology for detecting ionizing radiation,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=816,2011
24,25,Biocartis SA,Lausanne,Biotech,Molecular diagnostics platform,https://www.top100startups.swiss/Biocartis,2011
25,26,QualySense AG,Glattbrugg,Engineering,"Sorting robot for grains, seeds and beans",https://www.top100startups.swiss/QualySense,2011
26,27,Procedural (acquired by Esri Ltd.),Redlands,ICT,"That startup caused an international sensation with its CityEngine package, which creates 3D urban environments.",https://www.top100startups.swiss/Esri,2011
27,28,PRECLIN Biosystems SA ,Epalinges,Biotech,In vivo preclinical testing platform,https://www.top100startups.swiss/Preclin,2011
28,29,Cilag GmbH International (former Covagen AG) ,Zürich-Schlieren,Biotech,Creating the next generation of biologics,https://www.top100startups.swiss/Covagen,2011
29,30,VirtaMed AG,Schlieren,Medtech,Simulators for medical training and education,https://www.top100startups.swiss/VirtaMed,2011
30,31,Optical Additives GmbH,Staufen,Engineering,Convert any surface into a solar cell,https://www.top100startups.swiss/Optical,2011
31,32,Abionic SA,Epalinges,Medtech,The revolutionary in vitro diagnostic point-of-care platform,https://www.top100startups.swiss/Abionic,2011
32,33,Credentis AG,Windisch,Medtech,Treating initial caries without drilling,https://www.top100startups.swiss/Credentis,2011
33,34,ViSSee AG,Zug,ICT,Development of visual speed sensors,https://www.top100startups.swiss/ViSSee,2011
34,35,restorm AG,Zürich,ICT,The Restorm Internet platform networks musicians with their listeners as well as with event organizers and the media.,https://www.top100startups.swiss/restorm,2011
35,36,Andiast Technolgoies GmbH (smartie.ch),Zürich,ICT,Revolutionizing online insurance exchange,https://www.top100startups.swiss/smartie-ch,2011
36,37,CAScination AG,Bern,Medtech,Image-guided liver surgeries,https://www.top100startups.swiss/CAScination,2011
37,38,BioXpress Therapeutics SA,Plan-les-Quates,Biotech,High-quality biosimilar biologic APIs for unmet need indications,https://www.top100startups.swiss/bioXPRESS,2011
38,39,Zurich Instruments AG,Zürich,Engineering,Instruments for dynamic signal analysis,https://www.top100startups.swiss/zurichinstruments,2011
39,40,Squirro AG,Zürich,ICT,AI Engine with a focus on unstructured data to drive top and,https://www.top100startups.swiss/Squirro,2011
40,41,Attolight SA,Lausanne,Engineering,Ultrafast spectroscopy for NanoPhotonics,https://www.top100startups.swiss/Attolight,2011
41,42,Kandou Bus SA,Lausanne,Engineering,Low power consumption chip connections,https://www.top100startups.swiss/Kandou,2011
42,43,Goodshine AG (acquired by Ringier),Zürich,ICT,Swiss marketleader in online couponing,https://www.top100startups.swiss/deindeal,2011
43,44,joiz AG,Zürich,ICT,"This television station, which links the world of TV with Web 2.0 and targets viewers between the ages of 15 and 35, has gotten off to a good start.",https://www.top100startups.swiss/joiz,2011
44,45,GenKyoTex S.A.,Plan-Les-Ouates,Biotech,Treatment of pathologies associated with overproduction of o,https://www.top100startups.swiss/GenKyoTex,2011
45,47,YouRehab,Schlieren,Medtech,Low-cost devices and entertaining gaming software to enable rehabilitation,https://www.top100startups.swiss/YouRehab,2011
46,48,DECTRIS AG,Baden - Daettwil,Engineering,Next generation x-ray detectors,https://www.top100startups.swiss/DECTRIS,2011
47,49,Swisstom AG ,Landquart,Medtech,Medical devices to monitor the lung and heart function of patients,https://www.top100startups.swiss/Swisstom,2011
48,50,Luciole Medical AG (former NeMoDevices AG),Zürich,Medtech,Innovative neuromonitoring systems,https://www.top100startups.swiss/LucioleMedical,2011
49,51,Limmex,Zürich,Engineering,Bringing women's health to the 21st century,https://www.top100startups.swiss/Limmex,2011
50,52,Fontself,Lausanne,ICT,Fontself has developed software that makes it possible for users to use any font they wish in the Internet.,https://www.top100startups.swiss/Fontself,2011
