,rank,name,headquarter,category,description,link,year
0,1,L.E.S.S. SA,Renens,Cleantech,Nano active fiber lighting systems,https://www.top100startups.swiss/LESS,2015
1,2,Abionic SA,Epalinges,Medtech,The revolutionary in vitro diagnostic point-of-care platform,https://www.top100startups.swiss/Abionic,2015
2,3,Flyability SA,Paudex,Robotics,Drone-based inspection solutions,https://www.top100startups.swiss/Flyability,2015
3,4,Bcomp AG,Fribourg,Cleantech,Superior products from natural fibers,https://www.top100startups.swiss/Bcomp,2015
4,5,Sophia Genetics SA,Saint Sulpice,Biotech,Democratizing Data-Driven Medicine,https://www.top100startups.swiss/Sophia,2015
5,6,Knip AG ,"Zurich, Switzerland",Fintech,Online insurance management,https://www.top100startups.swiss/Knip,2015
6,7,TrekkSoft AG,Matten bei Interlaken,ICT,SaaS solution for tour and activity companies,https://www.top100startups.swiss/TrekkSoft,2015
7,8,QualySense AG,Glattbrugg,Engineering,"Sorting robot for grains, seeds and beans",https://www.top100startups.swiss/QualySense,2015
8,9,Glycemicon AG,Brugg,Biotech,Managing blood glucose levels,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7498,2015
9,10,Lunaphore Technologies SA,Tolochenaz,Medtech,Tumor analysis platform,https://www.top100startups.swiss/Lunaphore,2015
10,11,PIQUR Therapeutics AG,Basel,Biotech,Developing and commercializing personalized cancer medicines,https://www.top100startups.swiss/PIQUR,2015
11,12,ProteoMediX AG,Schlieren,Biotech,Markers for prostate cancer,https://www.top100startups.swiss/ProteoMediX,2015
12,13,faceshift AG (acquired by Apple),"Cupertino, California",ICT,Technology for facial expression recognition to enact virtual characters in real-time.,https://www.top100startups.swiss/faceshift,2015
13,14,Teralytics AG,Zürich,ICT,Turning complex data into valuable information,https://www.top100startups.swiss/Teralytics,2015
14,15,CodeCheck AG,Zürich,ICT,Shopping assistant for a conscious lifestyle,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520,2015
15,16,ScanTrust SA,Lausanne,ICT,Protection from counterfeiting,https://www.top100startups.swiss/ScanTrust,2015
16,17,ActLight SA,Ecublens,Engineering,Developing high performance photodetectors for mobile applications,https://www.top100startups.swiss/ActLight,2015
17,18,Leman Micro Devices SA,Lausanne,Engineering,Medically accurate health sensing for all mobile devices,https://www.top100startups.swiss/Leman,2015
18,19,RealLook AG (Selfnation),Zürich,ICT,Perfectly fitting trousers,https://www.top100startups.swiss/selfnation,2015
19,20,Gamaya SA,Morges,Robotics,Digital agronomy solutions for large farming businesses,https://www.top100startups.swiss/Gamaya,2015
20,21,bexio AG  ,Rapperswil,Fintech,Business software for SMEs,https://www.top100startups.swiss/Bexio,2015
21,22,Distalmotion SA,Epalinges,Medtech,Making Sense of Robotic Surgery,https://www.top100startups.swiss/DistalMotion,2015
22,23,On AG,Zollikon,Engineering,Introducing zero-gravity running,https://www.top100startups.swiss/On,2015
23,24,MindMaze SA,Lausanne,Medtech,Bringing real emotion to virtual reality,https://www.top100startups.swiss/MindMaze,2015
24,25,Fastree3D SA,Ecublens,Engineering,"The world’s fastest, safest, programmable imaging chip",https://www.top100startups.swiss/Fastree3D,2015
25,26,Uepaa AG,Zürich,ICT,The industry-leading Safety and Proximity Expert,https://www.top100startups.swiss/Uepaa,2015
26,27,Farmy AG,Zürich,Foodtech,The online shop for regional and biological farming goods,https://www.top100startups.swiss/Farmy,2015
27,28,Anokion SA,Ecublens ,Biotech,"Promoting IMMUNE TOLERANCE, ameliorating disease",https://www.top100startups.swiss/Anokion,2015
28,29,Bestmile SA,Lausanne,ICT,Fleet automation platform,https://www.top100startups.swiss/Bestmile,2015
29,30,Mila AG ,Zurich,ICT,Marketplace for local and trusted services,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=5346,2015
30,31,MOVU AG ,Zürich,ICT,Finding the best moving and cleaning provider online,https://www.top100startups.swiss/MOVU,2015
31,32,CleanGreens Solutions SA,Molondin,Foodtech,Innovative farming solutions,https://www.top100startups.swiss/CleanGreens,2015
32,33,Sherpany AG,Zürich,ICT,Productive leadership meetings,https://www.top100startups.swiss/Sherpany,2015
33,34,Amal Therapeutics SA ,Genève,Biotech,Cancer vaccines,https://www.top100startups.swiss/Amal,2015
34,35,3BaysOver,Lausanne,ICT,The Professional Network for Travel.,https://www.top100startups.swiss/3BaysOver,2015
35,36,HYT SA,Neuchâtel,Engineering,The hydro mechanical horlogists,https://www.top100startups.swiss/HYT,2015
36,37,Crispr Therapeutics AG,Basel,Biotech,Developing cures for serious human genetic diseases,https://www.top100startups.swiss/Crispr,2015
37,38,VIU VENTURES AG,Zürich,ICT,Challenging the established rules in the eyewear industry,https://www.top100startups.swiss/VIUVentures,2015
38,39,Polyneuron Pharmaceuticals AG,Basel,Biotech,New drug class for the treatment of autoimmune diseases,https://www.top100startups.swiss/Polyneuron,2015
39,40,Bluetector AG,Root,Cleantech,Manure Treatment,https://www.top100startups.swiss/Bluetector,2015
40,41,CALCISCON AG,Nidau,Biotech,Products for Calcification Medicine,https://www.top100startups.swiss/CALCISCON,2015
41,42,Scope Content AG,Zürich,ICT,The new generation of news aggregator a unique semantic text analysis engine,https://www.top100startups.swiss/scope,2015
42,43,Nezasa AG,Zürich,ICT,Technology solutions for the travel trade,https://www.top100startups.swiss/Nezasa,2015
43,44,SwissLitho AG (acquired by Heidelberg Instruments),Zürich,Engineering,A novel technology for nanofabrication,https://www.top100startups.swiss/SwissLitho,2015
44,45,Proton SA,Plan-les-Ouates,Security,Secure e-mail,https://www.top100startups.swiss/Proton,2015
45,46,Kandou Bus SA,Lausanne,Engineering,Low power consumption chip connections,https://www.top100startups.swiss/Kandou,2015
46,47,Malcisbo AG,Schlieren,Biotech,Platform to identify carbohydrate targets in pathogenic organisms,https://www.top100startups.swiss/Malcisbo,2015
47,48,1Drop Diagnostics Sàrl,Neuchâtel,Medtech,Saving lives through better and faster portable medical diagnostics,https://www.top100startups.swiss/1Drop,2015
48,49,Starmind International AG,Küsnacht,ICT,Making it easy to find the best expert within a company to solve a problem,https://www.top100startups.swiss/Starmind,2015
49,50,OrbiWise SA,Plan-Les-Ouates,ICT,Full solutions for the internet of things,https://www.top100startups.swiss/OrbiWise,2015
50,51,Nanolive SA,Ecublens,Medtech,Revolutionary tomographic microscope,https://www.top100startups.swiss/Nanolive,2015
51,52,MiniNaviDent AG,Basel,Medtech,3D navigation system for dental implantology,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=5376,2015
52,53,CashSentinel SA,Lausanne,Fintech,Payment services provider for marketplaces,https://www.top100startups.swiss/CashSentinel,2015
53,54,Lightbend Sàrl (Typesafe),Lausanne,ICT,Scala programming language,https://www.top100startups.swiss/Lightbend,2015
54,55,Advanced Osteotomy Tools - AOT AG,Basel,Medtech,Cutting bones with laser,https://www.top100startups.swiss/AOT,2015
55,56,Scrona AG,Adliswil,Engineering,Printing at the nanoscale,https://www.top100startups.swiss/scrona,2015
56,57,Diviac AG ,Zurich,ICT,Diviac is the Booking.com of scuba diving.,https://www.top100startups.swiss/Diviac,2015
57,58,Koring AG,Basel,Medtech,"Novel, implantable ring to prevent parastomal hernia in abdominal surgery.",https://www.top100startups.swiss/Koring,2015
58,59,Aeon Scientific AG,Schlieren - Zurich,Medtech,Electromagnetic guidance of medical instruments in the human body,https://www.top100startups.swiss/Aeon,2015
59,60,Biowatch,Lausanne,Engineering,A wearable biometric technology as an alternative solution to current authentication methods,https://www.top100startups.swiss/Biowatch,2015
60,61,noonee AG,Hedingen,Medtech,"Wearable technology, which enables factory workers to sit down during work – without a chair",https://www.top100startups.swiss/nooneeAG,2015
61,62,AKSELOS SA,Lausanne,ICT,Simulation technology to protect critical structures,https://www.top100startups.swiss/AKSELOS,2015
62,63,Pix4D SA (acquired by Parrot),Lausanne,ICT,Automatically combine images from mobile cameras and create 2D and 3D models,https://www.top100startups.swiss/Pix4D,2015
63,64,Geosatis SA,Le Noirmont,Engineering,GPS ankle bracelet,https://www.top100startups.swiss/Geosatis,2015
64,65,FEMTOprint SA,Muzzano,Medtech,3D printing for glass microdevices,https://www.top100startups.swiss/FEMTOprint,2015
65,66,Recommerce AG,Rotkreuz,ICT,"Buys, repairs and resells mobile phones, tablets and iPods",https://www.top100startups.swiss/recommerce,2015
66,67,UrbanFarmers AG,Zürich,Cleantech,"Urban farms in acant urban areas to provide organic, healthy and local food to its communities",https://www.top100startups.swiss/UrbanFarmers,2015
67,68,flatev AG,Zürich,Foodtech,Reinventing the Future of Snacks at the tip of a button,https://www.top100startups.swiss/flatev,2015
68,69,Ampard AG ,Zürich,Cleantech,Control- and asset-management system to realize complex decentralized storage solutions,https://www.top100startups.swiss/Ampard,2015
69,70,TestingTime AG,Zürich,ICT,We recruit test users for user and market research,https://www.top100startups.swiss/TestingTime,2015
70,71,Versantis AG,Zürich,Biotech,Conquer liver diseases and saves lives,https://www.top100startups.swiss/Versantis,2015
71,72,Equippo AG,Zug,ICT,"Next-generation, full-service marketplace for equipment",https://www.top100startups.swiss/Equippo,2015
72,73,Contovista AG ,Schlieren,Fintech,Data driven banking,https://www.top100startups.swiss/Contovista,2015
73,74,rqmicro AG,Schlieren,Biotech,Ultra-rapid detection of pathogenic microorganisms,https://www.top100startups.swiss/rqmicro,2015
74,75,I believe in you AG,Bern,ICT,World's leading crowdfunding platform in sports,https://www.top100startups.swiss/IBIY,2015
75,76,ParkU AG,Zürich,ICT,ParkU - The Parking App,https://www.top100startups.swiss/ParkUAG,2015
76,77,NEEO AG ,Solothurn,Engineering,Smart Home. Simple.,https://www.top100startups.swiss/NEEO,2015
77,78,InvestGlass SA,Geneva,Fintech,The best way to invest,https://www.top100startups.swiss/InvestGlass,2015
78,79,Archilogic AG,Zürich,Proptech,Understanding environments,https://www.top100startups.swiss/Archilogic,2015
79,80,depsys SA,Puidoux,Cleantech,Energy network optimization platform,https://www.top100startups.swiss/depsys,2015
80,81,DAHU Sports Company Ltd.,Châtel-Saint-Denis,Engineering,Innovative ski boots / a game changer for the whole industry,https://www.top100startups.swiss/DAHU,2015
81,82,SWISSto12 SA,Renens,Engineering,Disruptive antenna systems for the telecoms industry.,https://www.top100startups.swiss/SWISSto12,2015
82,83,recapp IT AG,Visp,ICT,Spracherkennung in allen Schweizer Sprachen und Dialekten,https://www.top100startups.swiss/recapp,2015
83,84,Xsensio SA ,Lausanne,Medtech,Lab-on-Skin(TM) sensing platform,https://www.top100startups.swiss/Xsensio,2015
84,85,everyglobe AG,Zürich,ICT,Contemporary Online Travel Company.,https://www.top100startups.swiss/everyglobe,2015
85,86,SamanTree Medical SA,Lausanne,Medtech,Solution helping surgeons to check complete tumor removal,https://www.top100startups.swiss/SamanTree,2015
86,87,Memo Therapeutics AG,Basel,Biotech,Description,https://www.top100startups.swiss/Memo,2015
87,88,AgriCircle AG,Rapperswil,Foodtech,Digital agronomy for regenerative carbon farming,https://www.top100startups.swiss/AgriCircle,2015
