,rank,name,headquarter,category,description,link,year
0,1,Ava AG,Zürich,Medtech,Ovulation tracking bracelet,https://www.top100startups.swiss/Ava,2018
1,2,Bestmile SA,Lausanne,ICT,Fleet automation platform,https://www.top100startups.swiss/Bestmile,2018
2,3,Lunaphore Technologies SA,Tolochenaz,Medtech,Tumor analysis platform,https://www.top100startups.swiss/Lunaphore,2018
3,4,Flyability SA,Paudex,Robotics,Drone-based inspection solutions,https://www.top100startups.swiss/Flyability,2018
4,5,CUTISS AG,Schlieren,Biotech,Personalized skin,https://www.top100startups.swiss/CUTISS,2018
5,6,Piavita AG,Zürich,Medtech,Daily assistant for equine veterinarians,https://www.top100startups.swiss/Piavita,2018
6,7,Wingtra AG,Zürich,Robotics,"Fly like an airplane, take-off and land like a helicopter",https://www.top100startups.swiss/Wingtra,2018
7,8,Gamaya SA,Morges,Robotics,Digital agronomy solutions for large farming businesses,https://www.top100startups.swiss/Gamaya,2018
8,9,Advanon AG ,Zürich,Fintech,Disrupting the invoicing market,https://www.top100startups.swiss/Advanon,2018
9,10,Versantis AG,Zürich,Biotech,Conquer liver diseases and saves lives,https://www.top100startups.swiss/Versantis,2018
10,11,Allthings Technologies AG,Basel,Proptech,Allthings: For a better life in buildings,https://www.top100startups.swiss/Allthings,2018
11,12,Exeon Analytics AG,Zürich,Security,Exeon Analytics detects hidden cyber threats,https://www.top100startups.swiss/Exeon,2018
12,13,Nanolive SA,Ecublens,Medtech,Revolutionary tomographic microscope,https://www.top100startups.swiss/Nanolive,2018
13,14,Imverse SA,Morges,ICT,3D Holograms: real-time volumetric video for telepresence,https://www.top100startups.swiss/Imverse,2018
14,15,OrbiWise SA,Plan-Les-Ouates,ICT,Full solutions for the internet of things,https://www.top100startups.swiss/OrbiWise,2018
15,16,ScanTrust SA,Lausanne,ICT,Protection from counterfeiting,https://www.top100startups.swiss/ScanTrust,2018
16,17,TestingTime AG,Zürich,ICT,We recruit test users for user and market research,https://www.top100startups.swiss/TestingTime,2018
17,18,yamo AG,Zug,Foodtech,Good Food for Kids. Made easy with yamo.,https://www.top100startups.swiss/yamo,2018
18,19,CREAL SA,Ecublens,Engineering,Enabling Augmented Reality within arm's reach,https://www.top100startups.swiss/CREAL,2018
19,20,Crispr Therapeutics AG,Basel,Biotech,Developing cures for serious human genetic diseases,https://www.top100startups.swiss/Crispr,2018
20,21,Fixposition AG,Schlieren,Robotics,Precise Positioning Everywhere.,https://www.top100startups.swiss/Fixposition,2018
21,22,MaxWell Biosystems AG,Zurich,Biotech,High-Content electrophysiology platforms,https://www.top100startups.swiss/MaxWell,2018
22,23,Glycemicon AG,Brugg,Biotech,Managing blood glucose levels,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7498,2018
23,24,Perspective Robotics AG (Fotokite),San Francisco,Robotics,Real-time situational intelligence that helps save lives.,https://www.top100startups.swiss/Perspective,2018
24,25,Crypto Real Estate AG (SwissRealCoin) ,Zug,Proptech,Real estate crypto token,https://www.top100startups.swiss/CryptoRealEstate,2018
25,26,9T Labs AG,Zürich,Engineering,3D carbon fiber printing technology,https://www.top100startups.swiss/9T,2018
26,27,Insolight SA,Renens,Cleantech,Solar modules designed for agrivoltaics,https://www.top100startups.swiss/Insolight,2018
27,28,Proton SA,Plan-les-Ouates,Security,Secure e-mail,https://www.top100startups.swiss/Proton,2018
28,29,Bring! Labs AG,Zürich,ICT,Bring! simplifies grocery shopping for you,https://www.top100startups.swiss/Bring,2018
29,30,CodeCheck AG,Zürich,ICT,Shopping assistant for a conscious lifestyle,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520,2018
30,31,TOLREMO therapeutics AG,Muttenz,Biotech,Development of resistance-breaking cancer therapies,https://www.top100startups.swiss/TOLREMO,2018
31,32,xorlab AG,Zürich,Security,Redefining enterprise communication security,https://www.top100startups.swiss/xorlab,2018
32,33,Polyneuron Pharmaceuticals AG,Basel,Biotech,New drug class for the treatment of autoimmune diseases,https://www.top100startups.swiss/Polyneuron,2018
33,34,Fashwell AG ,Zürich,ICT,AI image recognition software,https://www.top100startups.swiss/Fashwell,2018
34,35,Daphne Technology SA,St-Sulpice VD,Cleantech,Climate tech comp reducing toxic pollutants & GHG emissions,https://www.top100startups.swiss/Daphne,2018
35,36,Altoida AG,Luzern,Medtech,Join us on our noble mission to better brain health,https://www.top100startups.swiss/Altoida,2018
36,37,Biowatch,Lausanne,Engineering,A wearable biometric technology as an alternative solution to current authentication methods,https://www.top100startups.swiss/Biowatch,2018
37,38,GUURU Solutions AG,Zürich,ICT,Customer Service. Automated and with human touch,https://www.top100startups.swiss/guuru,2018
38,39,Chimpy AG,Zürich,Cleantech,Convenient recharging on the go,https://www.top100startups.swiss/Chimpy,2018
39,40,PriceHubble AG,Zürich,Proptech,Big data and artificial intelligence for real estate markets,https://www.top100startups.swiss/PriceHubble,2018
40,41,Pregnolia AG,Schlieren,Medtech,Predicting the risk of premature birth,https://www.top100startups.swiss/Pregnolia,2018
41,42,Inositec AG,Zurich,Biotech,Developing small molecules to address unmet medical needs,https://www.top100startups.swiss/Inositec,2018
42,43,H55 AG,Sion,Engineering,Electric propulsion technologies,https://www.top100startups.swiss/H55,2018
43,44,PharmaBiome AG,Zürich,Biotech,Next Generation Microbiome Therapies,https://www.top100startups.swiss/PharmaBiome,2018
44,45,Leman Micro Devices SA,Lausanne,Engineering,Medically accurate health sensing for all mobile devices,https://www.top100startups.swiss/Leman,2018
45,46,Daedalean AG,Zürich,Robotics,Autonomous flight control for the electric personal aircraft,https://www.top100startups.swiss/Daedalean,2018
46,47,Avrios International AG,Zürich,ICT,We make mobility work for business,https://www.top100startups.swiss/Avrios,2018
47,48,Cellestia Biotech AG,Basel,Biotech,Developing First-in-Class therapies for cancer and AIIDs.,https://www.top100startups.swiss/Cellestia,2018
48,49,RealLook AG (Selfnation),Zürich,ICT,Perfectly fitting trousers,https://www.top100startups.swiss/selfnation,2018
49,50,VIU VENTURES AG,Zürich,ICT,Challenging the established rules in the eyewear industry,https://www.top100startups.swiss/VIUVentures,2018
50,51,GRZ Technologies AG,Grolley,Cleantech,Metal hydride hydrogen storage solution,https://www.top100startups.swiss/GRZ,2018
51,52,Astrocast SA,Chavannes-près-Renens,Engineering,Astrocast is a global nano-satellite IoT network,https://www.top100startups.swiss/Astrocast,2018
52,53,Farmy AG,Zürich,Foodtech,The online shop for regional and biological farming goods,https://www.top100startups.swiss/Farmy,2018
53,54,ANYbotics AG,Zürich,Robotics,Autonomous robots for industrial inspection,https://www.top100startups.swiss/ANYbotics,2018
54,55,Elthera AG,Schlieren,Biotech,Tailored cancer therapies,https://www.top100startups.swiss/Elthera,2018
55,56,Frontify AG,St. Gallen,ICT,The platform for building powerful brand experience,https://www.top100startups.swiss/Frontify,2018
56,57,Loanboox GmbH,Zürich,Fintech,European debt capital market platform,https://www.top100startups.swiss/Loanboox,2018
57,58,Nomoko AG,Zurich,ICT,Creating a digital twin of the world,https://www.top100startups.swiss/Nomoko,2018
58,59,Equippo AG,Zug,ICT,"Next-generation, full-service marketplace for equipment",https://www.top100startups.swiss/Equippo,2018
59,60,Carvolution AG,Bannwil,ICT,Car Subscription Model for Switzerland,https://www.top100startups.swiss/Carvolution,2018
60,61,Mirrakoi SA,Lausanne,Medtech,3D models straight from medical images.,https://www.top100startups.swiss/Mirrakoi,2018
61,62,GratXray AG,Villigen,Medtech,Painless and precise breast cancer imaging,https://www.top100startups.swiss/GratXray,2018
62,63,CLEVERDIST SA,Plan-les-Ouates,ICT,Design and integration of large control systems,https://www.top100startups.swiss/CLEVERDIST,2018
63,64,Vanguard Internet SA (Batmaid),Lausanne,ICT,The first vertical marketplace for home and office services in Switzerland,https://www.top100startups.swiss/Batmaid,2018
64,65,Apiax AG,Zürich,Fintech,Removing barriers with embedded compliance,https://www.top100startups.swiss/Apiax,2018
65,66,Melonport AG,Walchwil,Fintech,Blockchain software for asset management,https://www.top100startups.swiss/Melonport,2018
66,67,CyanoGuard AG,Waedenswil,Engineering,Disrupting the global mining industry,https://www.top100startups.swiss/CyanoGuard,2018
67,68,Dotphoton AG,Zug,ICT,Reliable image data for critical applications and AI,https://www.top100startups.swiss/Dotphoton,2018
68,69,Skypull SA,Dino-Lugano,Cleantech,Globally scalable renewable wind energy with tethered hybrid,https://www.top100startups.swiss/Skypull,2018
69,70,Komed Health AG,Zürich,ICT,"""slack"" for healthcare",https://www.top100startups.swiss/Komedhealth,2018
70,71,Nanoleq AG,Rümlang,Engineering,The future of health-monitoring textiles,https://www.top100startups.swiss/Nanoleq,2018
71,72,Comphya SA,Lausanne,Medtech,First neurostimulator to treat erectile dysfunction,https://www.top100startups.swiss/Comphya,2018
72,73,Crypto Finance AG,Zug,Fintech,Transforming financial services,https://www.top100startups.swiss/CryptoFinance,2018
73,74,Zippsafe AG ,Glattbrugg,Engineering,Space-efficient and smart staff locker technology,https://www.top100startups.swiss/Zippsafe,2018
74,75,SONECT AG,Zürich,Fintech,"Through Sonect, every store becomes an ATM",https://www.top100startups.swiss/SONECT,2018
75,76,LIGENTEC SA,Ecublens,Engineering,Photonic Integrated Circuits (PIC) in high-tech,https://www.top100startups.swiss/LiGenTec,2018
76,77,Coat-X AG,La Chaux-de-Fonds,Medtech,Innovative encapsulation technology,https://www.top100startups.swiss/Coat-X,2018
77,78,IRsweep AG,Stäfa,Biotech,Optical gas sensing,https://www.top100startups.swiss/IRsweep,2018
78,79,Embotech AG,Zurich,ICT,Empowering Autonomous Systems to Make Better Decisions,https://www.top100startups.swiss/embotech,2018
79,80,Nanogence SA ,Lausanne ,Cleantech,Creating material solutions for a sustainable world,https://www.top100startups.swiss/Nanogence,2018
80,81,INVOLI SA,Renens,ICT,Enabling the safe integration of drones into the airspace,https://www.top100startups.swiss/INVOLI,2018
81,82,Ledgy AG,Zurich,Fintech,Your equity set for growth,https://www.top100startups.swiss/Ledgy,2018
82,83,CARU AG,Zurich,Medtech,Empowering older adults to age in place,https://www.top100startups.swiss/CARU,2018
83,84,RetinAI Medical AG,Bern,Medtech,We enable the right decisions sooner in healthcare,https://www.top100startups.swiss/RetinAI,2018
84,85,Futurae Technologies AG,Zurich,Security,Secure Authentication for users has never been easier,https://www.top100startups.swiss/Futurae,2018
85,86,OneVisage SA,Lausanne,Security,Sensitive Data Requires Premium Protection,https://www.top100startups.swiss/OneVisage,2018
86,87,Gnubiotics Sciences SA,Epalinges,Biotech,Biosimilar oligosaccharides to restore microbiome diversity,https://www.top100startups.swiss/Gnubiotics,2018
87,88,Legal Technology Switzerland AG (Proxeus),Zug,ICT,We create an interface allowing users to easily create their own decentralized applications on the blockchain,https://www.top100startups.swiss/LegalHub,2018
88,89,InterAx Biotech AG,Villigen,Biotech,Reinventing GPCR drug discovery,https://www.top100startups.swiss/InterAx,2018
89,90,Olympe SA,Lausanne,ICT,The best composition platform in the market,https://www.top100startups.swiss/Olympe,2018
90,91,TwentyGreen AG,Lucerne,Biotech,Next-Generation Probiotic 10x better protection,https://www.top100startups.swiss/TwentyGreen,2018
91,92,Topadur Pharma AG,Schlieren,Biotech,Disruptive drugs for aging diseases,https://www.top100startups.swiss/Topadur,2018
92,93,Global Impact Finance SA (Monito),Lausanne,ICT,Comparing the rates of money transfer operators and banks,https://www.top100startups.swiss/Monito,2018
93,94,Insightness AG ,Zürich,Engineering,Novel camera chips for interactive devices,https://www.top100startups.swiss/Insightness,2018
94,95,Xsensio SA ,Lausanne,Medtech,Lab-on-Skin(TM) sensing platform,https://www.top100startups.swiss/Xsensio,2018
95,96,Volumina Medical SA,Epalinges,Medtech,Dynamic biomaterials for reconstructive and plastic surgery,https://www.top100startups.swiss/Volumina,2018
96,97,IDUN Technologies AG,Opfikon,Medtech,Enabling the Internet of Humans,https://www.top100startups.swiss/IDUN,2018
97,98,UrbanAlps AG,Zürich,Engineering,Stealth Key: world's first 3D metal printed key,https://www.top100startups.swiss/UrbanAlps,2018
98,99,Verity AG,Zürich,Robotics,Autonomous indoor drone systems,https://www.top100startups.swiss/Verity,2018
99,100,Inofea AG,Muttenz,Biotech,Empowered therapeutic enzymes,https://www.top100startups.swiss/Inofea,2018
